PROB,LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
0.01,|('entry_micky', 'exit_donald')|,500,True,7.0,0.33333333333333331,1
0.01,|('entry_micky', 'exit_donald')|,500,True,9.0,0.5,1
0.01,|('entry_micky', 'exit_donald')|,500,True,10.0,0.5,1
0.01,|('entry_micky', 'exit_donald')|,500,True,13.0,0.66666666666666663,2
0.01,|('entry_micky', 'exit_donald')|,500,True,14.0,0.66666666666666663,2
0.01,|('entry_micky', 'exit_donald')|,500,True,15.0,0.66666666666666663,2
0.01,|('entry_micky', 'exit_donald')|,1000,True,13.0,0.54545454545454541,1
0.01,|('entry_micky', 'exit_donald')|,1000,True,14.0,0.45454545454545453,1
0.01,|('entry_micky', 'exit_donald')|,2000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_donald')|,3000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_donald')|,4000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_donald')|,5000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_daisy')|,100,True,4.0,1.0,2
0.01,|('entry_minny', 'exit_daisy')|,500,True,4.0,1.0,10
0.01,|('entry_minny', 'exit_daisy')|,1000,True,3.0,0.31669372294372289,4
0.01,|('entry_minny', 'exit_daisy')|,1000,True,4.0,0.9284401154401154,25
0.01,|('entry_minny', 'exit_daisy')|,1000,True,5.0,0.26111111111111107,2
0.01,|('entry_minny', 'exit_daisy')|,2000,True,3.0,0.21298276561742929,12
0.01,|('entry_minny', 'exit_daisy')|,2000,True,4.0,0.84326384478563998,30
0.01,|('entry_minny', 'exit_daisy')|,2000,True,5.0,0.2256563170707814,9
0.01,|('entry_minny', 'exit_daisy')|,2000,True,13.0,0.11538461538461539,1
0.01,|('entry_minny', 'exit_daisy')|,3000,True,3.0,0.20583156199115357,18
0.01,|('entry_minny', 'exit_daisy')|,3000,True,4.0,0.77097587491368214,30
0.01,|('entry_minny', 'exit_daisy')|,3000,True,5.0,0.21105037578325153,15
0.01,|('entry_minny', 'exit_daisy')|,4000,True,3.0,0.17499666130042429,24
0.01,|('entry_minny', 'exit_daisy')|,4000,True,4.0,0.7178442373617272,30
0.01,|('entry_minny', 'exit_daisy')|,4000,True,5.0,0.18542404382339145,23
0.01,|('entry_minny', 'exit_daisy')|,5000,True,3.0,0.19815498863695408,25
0.01,|('entry_minny', 'exit_daisy')|,5000,True,4.0,0.70355096152447871,30
0.01,|('entry_minny', 'exit_daisy')|,5000,True,5.0,0.15758385753367127,25
0.01,|('exit_goofy', 'exit_donald')|,100,False,0.0,0.0,0.0
0.01,|('exit_goofy', 'exit_donald')|,500,True,0.0,0.5,1
0.01,|('exit_goofy', 'exit_donald')|,500,True,2.0,0.45454545454545453,1
0.01,|('exit_goofy', 'exit_donald')|,500,True,4.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,500,True,5.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,500,True,10.0,0.38636363636363635,2
0.01,|('exit_goofy', 'exit_donald')|,500,True,15.0,0.27272727272727271,1
0.01,|('exit_goofy', 'exit_donald')|,1000,True,2.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,1000,True,3.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,2000,True,8.0,1.0,2
0.01,|('exit_goofy', 'exit_donald')|,2000,True,6.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,2000,True,7.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,3000,True,1.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,3000,True,10.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,3000,True,3.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,3000,True,12.0,1.0,1
0.01,|('exit_goofy', 'exit_donald')|,4000,True,10.0,0.44444444444444448,1
0.01,|('exit_goofy', 'exit_donald')|,4000,True,4.0,0.55555555555555547,1
0.01,|('exit_goofy', 'exit_donald')|,4000,True,6.0,0.5,1
0.01,|('exit_goofy', 'exit_donald')|,4000,True,15.0,0.75,2
0.01,|('exit_goofy', 'exit_donald')|,5000,True,0.0,0.41666666666666663,1
0.01,|('exit_goofy', 'exit_donald')|,5000,True,1.0,0.25,1
